precinct_id,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
OCONEE - 08-CC,10878,817,10067,8574,602,50,568,4,0,148,7,111,3,66,660,754,8414,548,7881,6867,424,48,480,0,0,6,3,61,0,54,526,430
OGLETHORPE - BV,4812,167,4649,3819,435,0,10,0,64,137,28,24,12,35,34,590,3731,89,3644,2901,384,0,8,0,71,125,28,0,15,38,8,529
OGLETHORPE - CR,3946,200,3737,2644,1066,14,34,0,2,15,51,0,0,61,34,1079,2919,54,2861,2164,613,10,30,6,2,19,30,0,0,41,30,631
OGLETHORPE - LX,6349,311,6043,4895,978,0,68,21,5,60,23,24,0,32,92,1034,5140,180,4962,4053,862,6,28,22,4,46,14,22,4,28,50,908
PAULDING - 0001B,9864,564,9312,8932,232,0,0,0,47,55,18,38,0,18,38,279,6968,405,6568,6375,113,0,0,0,46,0,5,20,0,5,20,111
PAULDING - 0002C,4684,303,4377,3222,928,78,0,0,0,51,16,73,0,94,73,979,3391,276,3114,2355,623,56,0,0,0,36,8,29,5,69,29,664
PAULDING - 0003C,6963,792,6169,4793,979,0,203,4,0,30,12,116,33,44,313,1040,5418,733,4681,3741,738,0,102,0,0,26,7,29,31,37,131,794
PAULDING - 0004C,16387,1178,15230,9923,3751,0,286,4,394,313,24,7,67,90,299,4149,11573,812,10780,7378,2465,0,195,0,239,83,24,4,67,91,199,2621
PAULDING - 0005C,11229,1294,9905,6542,3217,9,235,0,64,115,59,95,32,98,330,3353,7984,534,7431,5061,2313,5,175,0,25,30,59,93,4,64,269,2343
PAULDING - 0006B,5474,286,5205,3483,1198,0,259,0,24,70,47,107,0,46,367,1254,4314,134,4196,2810,1071,0,113,0,24,0,34,107,0,34,221,1066
